"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI"
"Absconditicoccaceae",-0.105625934441136,0.0415511908879118,0.236742567456437
"Acetobacteraceae",-0.217031088247656,0.264078135592177,0.308169021193892
"Acidaminococcaceae",-0.166198164193087,0.208914108352648,0.150280280191588
"Acutalibacteraceae",0.0863531235324243,-0.0575985758264672,-0.190074926676727
"Anaerolineaceae",0.102951481323852,-0.145563119359224,-0.100426027254169
"Anaeroplasmataceae",0.0806670719984793,-0.146365037649672,-0.0284158933913139
"Anaerovoracaceae",0.00656811158819527,0.033983002000524,-0.0945533915663849
"Aristaeellaceae",-0.174428836488856,0.224880086590543,0.149541999460803
"Atopobiaceae",-0.53155294319478,0.343119555529228,1.12791311388131
"Bacillaceae_H_294103",0.0825814885925112,-0.0207439840493946,-0.201076565816786
"Bacteroidaceae",-0.0778696284228796,0.04835643206848,0.140680363357104
"BICA1-8",0.233367446497301,-0.171153841793724,-0.760115220836567
"Bifidobacteriaceae",0.971194388240924,-1.18941309561377,-0.839732833357976
"Bin106",-0.269338851095759,0.243086397827358,0.342590840704641
"Borkfalkiaceae",0.129299597532882,-0.154848077594891,-0.168707781385748
"CAG-1252",0.485446766114454,-0.61743491718428,-0.686638075920912
"CAG-138",-0.0636384132586618,0.0833682971258842,0.0402029861984042
"CAG-239",0.157827845427702,-0.325420964318751,-0.0674348970517539
"CAG-272",-0.0520720774857178,0.124281939112754,-0.0617035853349007
"CAG-274",-0.338807116446762,0.450726993168097,0.36046207521014
"CAG-314",-0.238236556204961,0.0574249609779799,0.447051749242734
"CAG-382",-0.297813000672686,0.381087283772998,0.24712477966806
"CAG-508",0.0542502685399085,-0.134918840687964,0.0338854971377849
"CAG-826",0.190266052950665,-0.121967139236926,-0.403709357478094
"Campylobacteraceae",0.267226565592513,-0.326620067651215,-0.252413767132655
"Christensenellaceae",0.0357385813932663,-0.0721870569824771,-0.0113616094970398
"Desulfobulbaceae",-0.258126409861224,0.188520476387516,0.365361349058363
"Desulfovibrionaceae",0.137800261877138,-0.0860496306885028,-0.284217594921425
"Dethiosulfovibrionaceae",0.039866540918209,-0.154318104716831,0.111367601468659
"Elusimicrobiaceae",0.117694251573327,-0.199710579208098,-0.0797281145889665
"Endomicrobiaceae",0.181766369020845,-0.221257698972798,-0.242867787104891
"Erysipelotrichaceae",-0.000248111459764262,-0.051899376710488,0.0658801569233853
"F082",0.204495465917557,-0.14456159283209,-0.521840193794645
"Fibrobacteraceae",-0.366577380283857,0.42152695869124,0.418445747669362
"Flavobacteriaceae",0.0267233309030738,-0.080438156160405,0.0131889593830213
"Gastranaerophilaceae",-0.0531687983882673,-0.256758954027463,0.539319497332128
"Lachnospiraceae",-0.0407480871785629,0.0349213795958381,0.0488276035644245
"Lactobacillaceae",-0.408212164089583,0.341399871850156,0.827866941448987
"Methanobacteriaceae",-0.0174017456445859,0.0653605260125209,-0.0721341803104891
"Mitochondria",0.0531770381564051,-0.055751060945898,-0.0720405717772073
"ML635J-15",0.347872721107899,-0.536160751608779,-0.320568410063752
"Muribaculaceae",0.754994563998499,-0.661093852448428,-1.18767992480221
"Mycoplasmoidaceae",-0.016591043261114,0.0575520627517019,-0.0619282035610401
